seed,dataset,algorithm,fold
42,satimage,CBM_KE,3
43,phoneme,CBM,8
43,spambase,CBM_KE,8
44,phoneme,CBM_KE,3
44,optdigits,CBM,2
44,optdigits,CBM,5
43,spambase,CBM_KE,0
42,phoneme,CBM_KE,7
44,optdigits,CBM,1
44,spambase,CBM_KE,4
43,spambase,CBM_KE,2
43,spambase,CBM_KE,9
44,wine-quality,CBM_KE,8
42,page-blocks,CBM_KE,3
42,phoneme,CBM_KE,6
44,optdigits,CBM_KE,0
44,wine-quality,CBM_KE,9
42,spambase,CBM,1
44,spambase,CBM,3
44,phoneme,CBM,6
44,spambase,CBM_KE,8
44,spambase,CBM_KE,7
42,spambase,CBM,3
43,spambase,CBM_KE,1
44,optdigits,CBM,3
43,spambase,CBM,3
42,satimage,CBM_KE,6
43,spambase,CBM_KE,4
43,spambase,CBM_KE,5
44,page-blocks,CBM_KE,3
42,page-blocks,CBM_KE,7
44,optdigits,CBM,4
43,spambase,CBM_KE,7
44,optdigits,CBM,8
42,page-blocks,CBM_KE,0
44,spambase,CBM_KE,5
44,wine-quality,CBM_KE,3
44,spambase,CBM,0
42,satimage,CBM_KE,1
44,wine-quality,CBM,1
44,wine-quality,CBM_KE,7
42,spambase,CBM,6
44,wine-quality,CBM,7
42,satimage,CBM_KE,8
44,spambase,CBM_KE,6
42,wine-quality,CBM_KE,8
42,satimage,CBM_KE,5
44,wine-quality,CBM,3
42,optdigits,CBM_KE,2
44,wine-quality,CBM,9
43,spambase,CBM,1
42,spambase,CBM_KE,6
42,page-blocks,CBM_KE,1
42,page-blocks,CBM_KE,6
44,wine-quality,CBM,0
44,spambase,CBM,7
44,spambase,CBM_KE,0
42,wine-quality,CBM_KE,2
44,wine-quality,CBM_KE,4
42,page-blocks,CBM_KE,5
43,spambase,CBM,5
43,spambase,CBM,0
43,spambase,CBM,9
42,phoneme,CBM_KE,2
44,wine-quality,CBM,5
43,optdigits,CBM,7
43,phoneme,CBM,4
44,kr-vs-kp,CBM_KE,2
43,phoneme,CBM,6
42,phoneme,CBM_KE,5
44,spambase,CBM_KE,3
42,page-blocks,CBM_KE,8
42,phoneme,CBM_KE,1
44,wine-quality,CBM,2
42,phoneme,CBM_KE,0
44,wine-quality,CBM,8
44,kr-vs-kp,CBM_KE,1
44,wine-quality,CBM,6
42,phoneme,CBM_KE,3
42,spambase,CBM_KE,7
