seed,dataset,algorithm,fold
43,spambase,FIGS_T,9
43,spambase,FIGS_T,5
43,spambase,FIGS_T,7
43,spambase,FIGS_T,6
42,spambase,FIGS_T,2
42,spambase,FIGS_T,0
42,spambase,FIGS_T,1
42,spambase,FIGS_T,8
42,spambase,FIGS_T,9
43,spambase,FIGS_T,1
43,spambase,FIGS_T,3
42,phoneme,XGBoost_T,0
43,phoneme,XGBoost_T,1
43,phoneme,XGBoost_T,0
42,phoneme,XGBoost_T,4
42,phoneme,XGBoost_T,3
43,phoneme,XGBoost_T,2
43,phoneme,XGBoost_T,6
43,phoneme,XGBoost_T,7
43,phoneme,XGBoost_T,8
43,phoneme,XGBoost_T,9
43,phoneme,XGBoost_T,4
43,phoneme,XGBoost_T,3
43,phoneme,XGBoost_T,5
44,phoneme,XGBoost_T,1
44,phoneme,XGBoost_T,8
44,phoneme,XGBoost_T,2
44,phoneme,XGBoost_T,3
44,phoneme,XGBoost_T,4
44,phoneme,XGBoost_T,0
42,phoneme,XGBoost_T,2
42,phoneme,XGBoost_T,8
42,phoneme,XGBoost_T,9
42,phoneme,XGBoost_T,1
44,phoneme,XGBoost_T,7
42,phoneme,XGBoost_T,5
42,phoneme,XGBoost_T,6
42,phoneme,XGBoost_T,7
44,phoneme,XGBoost_T,9
44,phoneme,XGBoost_T,5
44,phoneme,XGBoost_T,6
44,car,XGBoost_T,5
42,car,XGBoost_T,2
42,car,XGBoost_T,1
43,car,XGBoost_T,6
42,car,XGBoost_T,6
43,car,XGBoost_T,4
43,car,XGBoost_T,2
43,car,XGBoost_T,3
42,car,XGBoost_T,0
42,car,XGBoost_T,8
42,car,XGBoost_T,3
43,car,XGBoost_T,8
42,car,XGBoost_T,7
43,car,XGBoost_T,9
42,car,XGBoost_T,5
44,car,XGBoost_T,4
44,car,XGBoost_T,0
44,car,XGBoost_T,1
44,car,XGBoost_T,2
44,car,XGBoost_T,3
43,car,XGBoost_T,0
43,car,XGBoost_T,1
44,car,XGBoost_T,8
43,car,XGBoost_T,5
42,car,XGBoost_T,9
44,car,XGBoost_T,9
44,car,XGBoost_T,7
44,car,XGBoost_T,6
43,car,XGBoost_T,7
42,car,XGBoost_T,4
42,wdbc,LightGBM_T,7
42,wdbc,LightGBM_T,2
42,wdbc,LightGBM_T,9
42,wdbc,LightGBM_T,8
42,wdbc,LightGBM_T,5
42,wdbc,LightGBM_T,4
42,wdbc,LightGBM_T,3
43,wdbc,LightGBM_T,5
43,wdbc,LightGBM_T,8
43,wdbc,LightGBM_T,9
43,wdbc,LightGBM_T,4
43,wdbc,LightGBM_T,0
43,wdbc,LightGBM_T,6
42,wdbc,LightGBM_T,6
