seed,dataset,algorithm,fold
43,tic-tac-toe,RuleFit_T,9
43,car,CatBoost_T,2
44,car,CatBoost_T,3
43,car,CatBoost_T,5
42,car,CatBoost_T,8
44,car,CatBoost_T,2
44,car,CatBoost_T,0
44,car,CatBoost_T,1
42,car,CatBoost_T,4
42,car,CatBoost_T,6
43,car,CatBoost_T,0
43,car,CatBoost_T,1
42,car,CatBoost_T,3
43,car,CatBoost_T,3
42,car,CatBoost_T,1
44,car,CatBoost_T,4
42,car,CatBoost_T,9
44,car,CatBoost_T,5
43,car,CatBoost_T,4
42,car,CatBoost_T,2
42,car,CatBoost_T,7
44,car,CatBoost_T,6
44,car,CatBoost_T,7
42,car,CatBoost_T,5
43,car,CatBoost_T,7
43,car,CatBoost_T,6
44,car,CatBoost_T,8
44,car,CatBoost_T,9
42,car,CatBoost_T,0
43,car,CatBoost_T,9
43,car,CatBoost_T,8
43,spambase,LightGBM_T,0
44,spambase,LightGBM_T,4
44,spambase,LightGBM_T,5
43,spambase,LightGBM_T,1
42,spambase,LightGBM_T,3
42,spambase,LightGBM_T,1
42,spambase,LightGBM_T,7
42,spambase,LightGBM_T,8
42,spambase,LightGBM_T,6
43,spambase,LightGBM_T,6
43,spambase,LightGBM_T,9
42,spambase,LightGBM_T,9
43,spambase,LightGBM_T,3
44,spambase,LightGBM_T,0
43,spambase,LightGBM_T,4
44,spambase,LightGBM_T,9
43,spambase,LightGBM_T,2
44,spambase,LightGBM_T,2
44,spambase,LightGBM_T,3
44,spambase,LightGBM_T,1
43,spambase,LightGBM_T,7
44,spambase,LightGBM_T,8
44,spambase,LightGBM_T,6
42,spambase,LightGBM_T,0
42,spambase,LightGBM_T,5
44,spambase,LightGBM_T,7
42,spambase,LightGBM_T,2
42,spambase,LightGBM_T,4
43,spambase,LightGBM_T,5
43,spambase,LightGBM_T,8
42,spambase,XGBoost_T,9
43,spambase,XGBoost_T,9
42,spambase,XGBoost_T,8
42,spambase,XGBoost_T,7
42,spambase,XGBoost_T,1
42,spambase,XGBoost_T,2
42,spambase,XGBoost_T,3
42,spambase,XGBoost_T,6
42,spambase,XGBoost_T,0
42,spambase,XGBoost_T,5
43,spambase,XGBoost_T,4
42,spambase,XGBoost_T,4
