seed,dataset,algorithm,fold
43,spambase,CBM_KE,5
43,spambase,CBM_KE,6
44,page-blocks,CBM_KE,3
42,page-blocks,CBM_KE,7
43,spambase,CBM_KE,7
42,page-blocks,CBM_KE,0
44,spambase,CBM_KE,5
44,wine-quality,CBM_KE,3
42,satimage,CBM_KE,1
44,wine-quality,CBM_KE,7
44,spambase,CBM_KE,1
42,satimage,CBM_KE,2
42,satimage,CBM_KE,8
44,spambase,CBM_KE,6
42,wine-quality,CBM_KE,8
42,satimage,CBM_KE,5
42,spambase,CBM_KE,1
42,optdigits,CBM_KE,2
42,wine-quality,CBM_KE,4
42,wine-quality,CBM_KE,3
42,spambase,CBM_KE,6
42,wine-quality,CBM_KE,1
42,page-blocks,CBM_KE,1
42,page-blocks,CBM_KE,6
44,spambase,CBM_KE,0
42,wine-quality,CBM_KE,2
44,wine-quality,CBM_KE,4
42,wine-quality,CBM_KE,0
42,page-blocks,CBM_KE,5
42,page-blocks,CBM_KE,2
42,optdigits,CBM_KE,7
42,page-blocks,CBM_KE,4
42,phoneme,CBM_KE,2
44,kr-vs-kp,CBM_KE,2
42,optdigits,CBM_KE,1
42,optdigits,CBM_KE,4
42,phoneme,CBM_KE,5
44,spambase,CBM_KE,3
42,page-blocks,CBM_KE,8
42,phoneme,CBM_KE,1
42,phoneme,CBM_KE,0
44,kr-vs-kp,CBM_KE,1
42,phoneme,CBM_KE,3
42,spambase,CBM_KE,7
42,optdigits,CBM_KE,6
42,optdigits,CBM_KE,9
42,spambase,CBM_KE,2
42,spambase,CBM_KE,8
42,spambase,CBM_KE,9
44,wine-quality,CBM_KE,2
42,optdigits,CBM_KE,0
43,kr-vs-kp,CBM_KE,5
44,wine-quality,CBM_KE,0
42,wine-quality,CBM_KE,7
42,optdigits,CBM_KE,5
42,wine-quality,CBM_KE,5
44,kr-vs-kp,CBM_KE,0
44,wine-quality,CBM_KE,5
44,wine-quality,CBM_KE,1
42,optdigits,CBM_KE,8
42,optdigits,CBM_KE,3
44,wine-quality,CBM_KE,6
42,spambase,CBM_KE,0
42,wine-quality,CBM_KE,6
43,kr-vs-kp,CBM_KE,0
42,spambase,CBM_KE,5
42,spambase,CBM_KE,3
44,kr-vs-kp,CBM_KE,7
43,kr-vs-kp,CBM_KE,3
43,kr-vs-kp,CBM_KE,1
43,kr-vs-kp,CBM_KE,2
44,kr-vs-kp,CBM_KE,3
42,spambase,CBM_KE,4
43,kr-vs-kp,CBM_KE,8
44,kr-vs-kp,CBM_KE,9
44,kr-vs-kp,CBM_KE,5
44,kr-vs-kp,CBM_KE,6
43,kr-vs-kp,CBM_KE,6
42,bank,CBM_KE,0
43,kr-vs-kp,CBM_KE,9
43,kr-vs-kp,CBM_KE,4
44,kr-vs-kp,CBM_KE,4
43,kr-vs-kp,CBM_KE,7
44,kr-vs-kp,CBM_KE,8
42,kr-vs-kp,CBM_KE,8
44,segment,CBM_KE,6
44,segment,CBM_KE,5
44,segment,CBM_KE,3
44,segment,CBM_KE,8
44,segment,CBM_KE,2
44,segment,CBM_KE,7
44,segment,CBM_KE,1
42,kr-vs-kp,CBM_KE,6
44,segment,CBM_KE,4
42,kr-vs-kp,CBM_KE,5
42,kr-vs-kp,CBM_KE,4
43,segment,CBM_KE,2
42,kr-vs-kp,CBM_KE,9
43,segment,CBM_KE,3
43,segment,CBM_KE,8
44,mfeat-factors,CBM_KE,4
44,segment,CBM_KE,9
42,kr-vs-kp,CBM_KE,3
43,segment,CBM_KE,7
42,kr-vs-kp,CBM_KE,0
43,segment,CBM_KE,0
44,segment,CBM_KE,0
42,kr-vs-kp,CBM_KE,1
43,segment,CBM_KE,1
42,kr-vs-kp,CBM_KE,2
42,kr-vs-kp,CBM_KE,7
43,segment,CBM_KE,6
44,mfeat-factors,CBM_KE,1
44,mfeat-factors,CBM_KE,7
43,segment,CBM_KE,5
43,segment,CBM_KE,4
44,mfeat-factors,CBM_KE,6
43,mfeat-factors,CBM_KE,9
44,mfeat-factors,CBM_KE,2
43,mfeat-factors,CBM_KE,2
43,segment,CBM_KE,9
43,mfeat-factors,CBM_KE,0
42,segment,CBM_KE,5
44,mfeat-factors,CBM_KE,8
43,mfeat-factors,CBM_KE,7
42,segment,CBM_KE,1
43,mfeat-factors,CBM_KE,8
42,car,CBM_KE,0
43,mfeat-factors,CBM_KE,3
43,mfeat-factors,CBM_KE,6
42,car,CBM_KE,4
42,car,CBM_KE,1
42,segment,CBM_KE,3
43,mfeat-factors,CBM_KE,5
44,mfeat-factors,CBM_KE,0
42,segment,CBM_KE,7
42,car,CBM_KE,7
44,mfeat-factors,CBM_KE,9
42,segment,CBM_KE,9
42,car,CBM_KE,5
42,car,CBM_KE,2
