Algorithm,Metric,N_datasets,p_raw,p_holm,significant_at_0.05
CBM,AUC_ROC,20,0.01068878173828125,0.43824005126953125,False
CBM,Accuracy,20,0.0029929173381608707,0.13767419755540006,False
CBM,Precision,20,0.01531219482421875,0.5818634033203125,False
CBM,Recall,20,0.9272785186767578,1.0,False
CBM,F1_macro,20,0.4523754119873047,1.0,False
CBM,MCC,20,0.013616561889648438,0.5446624755859375,False
CatBoost,AUC_ROC,20,0.03276824951171875,1.0,False
CatBoost,Accuracy,20,0.069580078125,1.0,False
CatBoost,Precision,20,0.08969497680664062,1.0,False
CatBoost,Recall,20,0.36827659606933594,1.0,False
CatBoost,F1_macro,20,0.26109886169433594,1.0,False
CatBoost,MCC,20,0.11398696899414062,1.0,False
DT_depth3,AUC_ROC,20,3.814697265625e-06,0.000293731689453125,True
DT_depth3,Accuracy,20,1.9073486328125e-06,0.000171661376953125,True
DT_depth3,Precision,20,1.9073486328125e-06,0.000171661376953125,True
DT_depth3,Recall,20,6.29425048828125e-05,0.0038394927978515625,True
DT_depth3,F1_macro,20,1.9073486328125e-06,0.000171661376953125,True
DT_depth3,MCC,20,3.814697265625e-06,0.000293731689453125,True
DT_depth5,AUC_ROC,20,1.9073486328125e-06,0.000171661376953125,True
DT_depth5,Accuracy,20,1.9073486328125e-06,0.000171661376953125,True
DT_depth5,Precision,20,1.9073486328125e-06,0.000171661376953125,True
DT_depth5,Recall,20,0.001209259033203125,0.059253692626953125,False
DT_depth5,F1_macro,20,1.9073486328125e-06,0.000171661376953125,True
DT_depth5,MCC,20,1.9073486328125e-06,0.000171661376953125,True
EBM,AUC_ROC,20,0.00365447998046875,0.16445159912109375,False
EBM,Accuracy,20,0.36827659606933594,1.0,False
EBM,Precision,20,0.017181396484375,0.635711669921875,False
EBM,Recall,20,0.2942523956298828,1.0,False
EBM,F1_macro,20,0.09730720520019531,1.0,False
EBM,MCC,20,0.6215133666992188,1.0,False
FIGS,AUC_ROC,20,1.9073486328125e-06,0.000171661376953125,True
FIGS,Accuracy,20,9.5367431640625e-06,0.0006771087646484375,True
FIGS,Precision,20,0.0001049041748046875,0.006084442138671875,True
FIGS,Recall,20,1.9073486328125e-06,0.000171661376953125,True
FIGS,F1_macro,20,1.9073486328125e-06,0.000171661376953125,True
FIGS,MCC,20,1.9073486328125e-06,0.000171661376953125,True
KNN_k5,AUC_ROC,20,9.5367431640625e-06,0.0006771087646484375,True
KNN_k5,Accuracy,20,0.00020300453895026214,0.011165249642264417,True
KNN_k5,Precision,20,0.0005855560302734375,0.029863357543945312,True
KNN_k5,Recall,20,3.62396240234375e-05,0.0024280548095703125,True
KNN_k5,F1_macro,20,4.76837158203125e-05,0.0030994415283203125,True
KNN_k5,MCC,20,1.9073486328125e-05,0.0012969970703125,True
LightGBM,AUC_ROC,20,0.17685317993164062,1.0,False
LightGBM,Accuracy,20,0.4523754119873047,1.0,False
LightGBM,Precision,20,0.36827659606933594,1.0,False
LightGBM,Recall,20,0.5958194732666016,1.0,False
LightGBM,F1_macro,20,0.34881019592285156,1.0,False
LightGBM,MCC,20,0.36827659606933594,1.0,False
LogReg,AUC_ROC,20,0.15364646911621094,1.0,False
LogReg,Accuracy,20,4.76837158203125e-05,0.0030994415283203125,True
LogReg,Precision,20,4.76837158203125e-05,0.0030994415283203125,True
LogReg,Recall,20,0.5705966949462891,1.0,False
LogReg,F1_macro,20,0.0007076263427734375,0.035381317138671875,True
LogReg,MCC,20,0.00365447998046875,0.16445159912109375,False
MLP,AUC_ROC,20,0.2773551940917969,1.0,False
MLP,Accuracy,20,0.0019855499267578125,0.095306396484375,False
MLP,Precision,20,0.013616561889648438,0.5446624755859375,False
MLP,Recall,20,5.7220458984375e-06,0.0004119873046875,True
MLP,F1_macro,20,0.000133514404296875,0.007610321044921875,True
MLP,MCC,20,0.0003223419189453125,0.017084121704101562,True
RandomForest,AUC_ROC,20,0.17685317993164062,1.0,False
RandomForest,Accuracy,20,0.8123550415039062,1.0,False
RandomForest,Precision,20,0.3117942810058594,1.0,False
RandomForest,Recall,20,0.2942523956298828,1.0,False
RandomForest,F1_macro,20,0.5216732025146484,1.0,False
