Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,bp_source,wall_s,chose_default,def_acc,best_acc,n_trials,timeout_hit
42,balance-scale,CBM_KE,0,OK,0.7777777777777778,0.7900608519269777,0.5192697768762677,0.5632183908045977,0.5395000912242292,0.5965828843449767,v26 main_pc0,4.1,,,,,
42,balance-scale,CBM_KE,1,OK,0.8571428571428571,0.8601757944557132,0.5717171717171717,0.6206896551724138,0.5948605795516676,0.7442205581741658,v26 main_pc0,8.1,,,,,
42,balance-scale,CBM_KE,2,OK,0.7142857142857143,0.7799188640973632,0.47676767676767673,0.5172413793103449,0.49589939857845816,0.4763011572314661,v26 main_pc0,8.7,,,,,
42,balance-scale,CBM_KE,3,OK,0.7777777777777778,0.739418526031102,0.5581395348837209,0.5632183908045977,0.5406273620559335,0.6387928131220281,v26 main_pc0,4.8,,,,,
42,balance-scale,CBM_KE,4,OK,0.6984126984126984,0.7299526707234619,0.46565656565656566,0.5057471264367815,0.4845999635502096,0.44653233490449945,v26 main_pc0,4.3,,,,,
42,balance-scale,CBM_KE,5,OK,0.6935483870967742,0.7730538140020898,0.4636015325670498,0.4942528735632184,0.4779384501297739,0.4282860211240514,v26 main_pc0,4.4,,,,,
42,balance-scale,CBM_KE,6,OK,0.6129032258064516,0.6559470315101787,0.5095952023988005,0.49893267651888346,0.49655172413793097,0.3597364861244518,v26 main_pc0,11.1,,,,,
42,balance-scale,CBM_KE,7,OK,0.7096774193548387,0.8550500082340586,0.47548500881834216,0.5155993431855501,0.4920634920634921,0.47389060592751225,v26 main_pc0,4.0,,,,,
42,balance-scale,CBM_KE,8,OK,0.5645161290322581,0.6231985705242885,0.3763888888888889,0.409688013136289,0.39209039548022595,0.19683958427770692,v26 main_pc0,4.4,,,,,
42,balance-scale,CBM_KE,9,OK,0.7096774193548387,0.7916796609200795,0.47548500881834216,0.5139573070607554,0.49242424242424243,0.46996197914262094,v26 main_pc0,4.3,,,,,
42,balance-scale,CBM,0,OK,0.8253968253968254,0.8721433400946585,0.5547619047619048,0.5977011494252874,0.5736476608187134,0.6881673274408115,v26 main_pc0,10.9,,,,,
42,balance-scale,CBM,1,OK,0.746031746031746,0.6172413793103448,0.5,0.5402298850574713,0.5166666666666667,0.540777512755835,v25(p_c=0),6.9,,,,,
42,balance-scale,CBM,2,OK,0.7142857142857143,0.859161595672752,0.6238095238095238,0.6275862068965518,0.6029511465603191,0.5467425896592011,v26 main_pc0,9.1,,,,,
42,balance-scale,CBM,3,OK,0.6825396825396826,0.8348208248816769,0.4848837209302325,0.4942528735632184,0.47203325774754346,0.4471549691854197,v25(p_c=0),7.6,,,,,
42,balance-scale,CBM,4,OK,0.6031746031746031,0.6856659905341447,0.45973909131803864,0.43678160919540227,0.4338235294117647,0.31810178512587417,v25(p_c=0),10.2,,,,,
42,balance-scale,CBM,5,OK,0.6290322580645161,0.7142546151166841,0.5079365079365079,0.5201149425287356,0.5111111111111111,0.3511978570013612,v25(p_c=0),8.6,,,,,
42,balance-scale,CBM,6,OK,0.7741935483870968,0.8311062862146453,0.5713069391230311,0.5611658456486043,0.5661442006269591,0.608784514631624,v26 main_pc0,8.6,,,,,
42,balance-scale,CBM,7,OK,0.6612903225806451,0.8034853445310368,0.5963369963369963,0.5906403940886699,0.5649382716049383,0.4822991307430922,v25(p_c=0),12.2,,,,,
42,balance-scale,CBM,8,OK,0.8548387096774194,0.906339327789632,0.7443455691509083,0.6746305418719212,0.6876357560568086,0.7401060262473734,v26 main_pc0,6.5,,,,,
42,balance-scale,CBM,9,OK,0.6774193548387096,0.8028602531591749,0.548076923076923,0.5465517241379311,0.5437062937062938,0.4547629308031172,v25(p_c=0),10.5,,,,,
42,bank,CBM_KE,0,OK,0.893,0.8270123106060607,0.8282051282051281,0.5757575757575757,0.6021935124082164,0.3153666111941774,v25(p_c=0),116.9,,,,,
42,bank,CBM_KE,1,OK,0.893,0.8236695075757575,0.7983297295603398,0.5901515151515152,0.6213609067521613,0.3279931531883334,v26 main_pc0,35.9,,,,,
42,bank,CBM_KE,2,OK,0.884,0.8127462121212122,0.737363387978142,0.5526515151515151,0.5659722222222222,0.22358481181463213,v25(p_c=0),27.9,,,,,
42,bank,CBM_KE,3,OK,0.896,0.855217803030303,0.8979591836734694,0.5738636363636364,0.6006144393241167,0.34289772487099834,v25(p_c=0),139.8,,,,,
42,bank,CBM_KE,4,OK,0.879,0.6357854060305193,0.689879759519038,0.5035634031910793,0.47589779573874585,0.05202376922105912,v25(p_c=0),20.7,,,,,
42,bank,CBM_KE,5,OK,0.895,0.8489126449101627,0.852511451587427,0.5839327184347352,0.6145247089661552,0.3440188623381415,v25(p_c=0),122.2,,,,,
42,bank,CBM_KE,6,OK,0.879,0.811623840013539,0.4395,0.5,0.46780202235231505,0.0,v25(p_c=0),19.6,,,,,
42,bank,CBM_KE,7,OK,0.894,0.8462377419870438,0.8943612854766887,0.5691102774565387,0.5929339477726574,0.3301782419082834,v25(p_c=0),147.6,,,,,
42,bank,CBM_KE,8,OK,0.884,0.8319747271034893,0.7423394617639222,0.5598585921266653,0.5767906135076761,0.24088253567182685,v25(p_c=0),32.2,,,,,
42,bank,CBM_KE,9,OK,0.891,0.8296335994133077,0.7830221300138313,0.5923476151524554,0.623294890980159,0.3233352362001115,v26 main_pc0,115.6,,,,,
42,bank,CBM,0,OK,0.89,0.8246543560606061,0.7658934237881606,0.5920454545454545,0.6220398851001251,0.31288516138179784,v26 main_pc0,121.9,,,,,
42,bank,CBM,1,OK,0.734,0.8349242424242425,0.621199043354732,0.7553030303030304,0.6210199976064421,0.35180951117496195,v26 main_pc0,127.0,,,,,
42,bank,CBM,2,OK,0.798,0.8309280303030303,0.6477444556451613,0.7664772727272727,0.6691908604968033,0.3968402177244544,v25(p_c=0),168.4,,,,,
42,bank,CBM,3,OK,0.72,0.8433996212121212,0.6273034424505697,0.7797348484848485,0.6194638789677686,0.377418649170969,v26 main_pc0,121.6,,,,,
42,bank,CBM,4,OK,0.821,0.8338833573087374,0.663087446595764,0.7698972348367321,0.6893434386383871,0.4196038649620851,v26 main_pc0,132.9,,,,,
42,bank,CBM,5,OK,0.881,0.7895946746396638,0.7101049252212043,0.6009129457779784,0.6273972602739726,0.2912202391767,v26 main_pc0,111.3,,,,,
42,bank,CBM,6,OK,0.812,0.8461296176158106,0.6569202601729721,0.7683411841028968,0.6815718157181572,0.41040549910813806,v26 main_pc0,129.1,,,,,
42,bank,CBM,7,OK,0.705,0.8288015118607734,0.6182828696126569,0.7609276130839892,0.6050822566804688,0.3513588868194756,v26 main_pc0,115.1,,,,,
42,bank,CBM,8,OK,0.822,0.623919931552572,0.5862857142857143,0.5887325003055689,0.5874702190579488,0.1750011105018865,v25(p_c=0),117.9,,,,,
42,bank,CBM,9,OK,0.768,0.8055876794629511,0.6275362104568013,0.7433127426922028,0.6401895828680613,0.35231341251115783,v26 main_pc0,177.6,,,,,
42,blood,CBM_KE,0,OK,0.84,0.7953216374269004,0.823076923076923,0.7046783625730995,0.7365339578454333,0.5143028508594515,v25(p_c=0),8.1,,,,,
42,blood,CBM_KE,1,OK,0.6666666666666666,0.6715399610136452,0.5648148148148148,0.5716374269005848,0.5668745668745668,0.1362815696764788,v26 main_pc0,14.4,,,,,
42,blood,CBM_KE,2,OK,0.76,0.5921052631578948,0.6598360655737705,0.6330409356725146,0.642478813559322,0.2916486908466954,v26 main_pc0,10.1,,,,,
42,blood,CBM_KE,3,OK,0.7866666666666666,0.8328460038986356,0.7693661971830985,0.5745614035087719,0.5738636363636364,0.28343832993998846,v25(p_c=0),12.5,,,,,
42,blood,CBM_KE,4,OK,0.8266666666666667,0.8221247563352826,0.7855113636363636,0.695906432748538,0.7221430607010544,0.473005339332108,v25(p_c=0),6.4,,,,,
42,blood,CBM_KE,5,OK,0.76,0.685672514619883,0.6547619047619048,0.6140350877192983,0.625,0.2656937137768185,v26 main_pc0,10.1,,,,,
42,blood,CBM_KE,6,OK,0.7866666666666666,0.7665692007797271,0.7318840579710144,0.5935672514619883,0.6031746031746031,0.29459636088859065,v25(p_c=0),9.8,,,,,
42,blood,CBM_KE,7,OK,0.7866666666666666,0.723196881091618,0.7076923076923076,0.631578947368421,0.648711943793911,0.33062326126679026,v26 main_pc0,9.4,,,,,
42,blood,CBM_KE,8,OK,0.6216216216216216,0.36635706914344685,0.36507936507936506,0.40350877192982454,0.38333333333333336,-0.22819866568847297,v26 main_pc0,4.5,,,,,
42,blood,CBM_KE,9,OK,0.7972972972972973,0.8178534571723427,0.7152777777777778,0.7239422084623324,0.7193426042983565,0.43913451692354477,v25(p_c=0),4.7,,,,,
42,blood,CBM,0,OK,0.8,0.689571150097466,0.7424242424242424,0.6403508771929824,0.6612466124661247,0.36891438072857313,v25(p_c=0),7.0,,,,,
42,blood,CBM,1,OK,0.7066666666666667,0.6408382066276803,0.597953216374269,0.597953216374269,0.597953216374269,0.195906432748538,v25(p_c=0),6.7,,,,,
42,blood,CBM,2,OK,0.76,0.5404483430799221,0.6547619047619048,0.6140350877192983,0.625,0.2656937137768185,v25(p_c=0),7.6,,,,,
42,blood,CBM,3,OK,0.76,0.40253411306042886,0.38,0.5,0.4318181818181818,0.0,v26 main_pc0,5.2,,,,,
42,blood,CBM,4,OK,0.7466666666666667,0.7772904483430799,0.6416666666666666,0.6242690058479532,0.6309246309246309,0.2653659799481466,v25(p_c=0),7.1,,,,,
42,blood,CBM,5,OK,0.6533333333333333,0.7032163742690059,0.6055555555555555,0.6388888888888888,0.6017156862745098,0.24216105241892633,v25(p_c=0),3.9,,,,,
42,blood,CBM,6,OK,0.26666666666666666,0.25682261208577006,0.3111111111111111,0.25146198830409355,0.24740010946907498,-0.43334083064439444,v25(p_c=0),3.3,,,,,
42,blood,CBM,7,OK,0.76,0.76364522417154,0.6839622641509434,0.7090643274853801,0.6931818181818181,0.39222415548971395,v25(p_c=0),6.4,,,,,
42,blood,CBM,8,OK,0.7162162162162162,0.5190918472652218,0.5113636363636364,0.5061919504643962,0.4946341463414634,0.016776539984043038,v25(p_c=0),6.6,,,,,
42,blood,CBM,9,OK,0.6891891891891891,0.8219814241486069,0.6193910256410257,0.6537667698658411,0.6230343300110742,0.2709861425519048,v26 main_pc0,4.9,,,,,
42,car,CBM_KE,0,OK,0.7456647398843931,0.8054258547476789,0.35894366197183103,0.3360351769442679,0.33982889733840305,0.3689737114155468,v25(p_c=0),21.7,,,,,
42,car,CBM_KE,1,OK,0.7167630057803468,0.82025146563355,0.3182924131829241,0.32570459843187116,0.32041343669250644,0.3040088032830668,v25(p_c=0),24.4,,,,,
42,car,CBM_KE,2,OK,0.7687861271676301,0.9131358525932073,0.35603754439370877,0.3486437804619623,0.3460163432073544,0.4130562437518445,v25(p_c=0),25.6,,,,,
42,car,CBM_KE,3,OK,0.7514450867052023,0.9289390464152031,0.6080742964794537,0.42054157963248867,0.46277139208173695,0.3676667080226056,v26 main_pc0,8.3,,,,,
42,car,CBM_KE,4,OK,0.6242774566473989,0.7160919362157329,0.28642257818459194,0.25924314919530234,0.2632256316466843,0.09696642391757598,v25(p_c=0),25.1,,,,,
42,car,CBM_KE,5,OK,0.7745664739884393,0.9179823625577934,0.3981900452488688,0.3400391474554154,0.34387922546767313,0.42863848167734986,v25(p_c=0),29.3,,,,,
42,car,CBM_KE,6,OK,0.6994219653179191,0.7563351906948782,0.17485549132947978,0.25,0.20578231292517007,0.0,v25(p_c=0),25.9,,,,,
42,car,CBM_KE,7,OK,0.7456647398843931,0.9529057420602067,0.75,0.48195644068849813,0.514622032771499,0.3579868511349276,v26 main_pc0,13.3,,,,,
42,car,CBM_KE,8,OK,0.6976744186046512,0.8131553294943384,0.18867924528301888,0.24793388429752067,0.21428571428571427,0.17766237236397725,v25(p_c=0),26.0,,,,,
42,car,CBM_KE,9,OK,0.7906976744186046,0.8925894164350413,0.36354166666666665,0.42088951718138323,0.3834851537181396,0.563044875504976,v25(p_c=0),14.7,,,,,
42,car,CBM,0,OK,0.7803468208092486,0.9466710783319547,0.5672390572390573,0.7542760270032998,0.590641437415631,0.5859561686863868,v26 main_pc0,20.0,,,,,
42,car,CBM,1,OK,0.7341040462427746,0.9014322790836855,0.42683947772657455,0.5955710955710956,0.44086545066937227,0.5244987908608612,v26 main_pc0,12.6,,,,,
42,car,CBM,2,OK,0.6878612716763006,0.8864350045074302,0.5288719570634464,0.6582659764477946,0.5149343618437865,0.4735505082691333,v26 main_pc0,26.4,,,,,
42,car,CBM,3,OK,0.7283236994219653,0.8740266861565613,0.4712301587301587,0.5018958314412859,0.46554227324732705,0.5258846824895875,v26 main_pc0,15.8,,,,,
42,car,CBM,4,OK,0.7687861271676301,0.8796165574661137,0.44781420765027324,0.5537966817871124,0.475002316745436,0.5862628272573405,v26 main_pc0,16.6,,,,,
42,car,CBM,5,OK,0.8497109826589595,0.9262447192802586,0.5162878787878787,0.6253961349655129,0.556356417089711,0.7013453800916939,v26 main_pc0,17.1,,,,,
42,car,CBM,6,OK,0.7109826589595376,0.8528113916992397,0.4160904255319149,0.42522369974523083,0.41089026173635357,0.47756163405112567,v26 main_pc0,22.6,,,,,
42,car,CBM,7,OK,0.815028901734104,0.8684895713805612,0.4784521028037383,0.5994609457528117,0.5150951737050136,0.6416913492738027,v26 main_pc0,19.3,,,,,
42,car,CBM,8,OK,0.7034883720930233,0.8747398741631431,0.41604729729729734,0.5712809917355373,0.4212477337477337,0.4907316425916297,v26 main_pc0,12.7,,,,,
42,car,CBM,9,OK,0.7790697674418605,0.8852600772807379,0.45893617021276595,0.6408220965637234,0.48772441979273096,0.601221671064814,v26 main_pc0,20.7,,,,,
42,credit-g,CBM_KE,0,OK,0.72,0.5314285714285715,0.734375,0.5428571428571429,0.5038979447200567,0.20044593143431827,v26 main_pc0,7.5,,,,,
42,credit-g,CBM_KE,1,OK,0.73,0.7119047619047619,0.6750380517503805,0.6642857142857144,0.6687523003312477,0.3391533656562534,v26 main_pc0,11.6,,,,,
42,credit-g,CBM_KE,2,OK,0.69,0.697857142857143,0.5980392156862745,0.5595238095238095,0.5555555555555556,0.1527830828380352,v25(p_c=0),6.8,,,,,
42,credit-g,CBM_KE,3,OK,0.74,0.6945238095238097,0.6993355481727574,0.6142857142857143,0.6212121212121212,0.3018688821687853,v26 main_pc0,14.8,,,,,
42,credit-g,CBM_KE,4,OK,0.71,0.4207142857142857,0.6578947368421053,0.5357142857142857,0.49783549783549785,0.15018785229652765,v25(p_c=0),18.6,,,,,
42,credit-g,CBM_KE,5,OK,0.61,0.526904761904762,0.461020552799433,0.4738095238095238,0.45765540258656656,-0.06390274747847303,v25(p_c=0),28.9,,,,,
