Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,bp_source,wall_s
42,balance-scale,CBM_KE,0,OK,0.8888888888888888,0.9421230561189994,0.5939393939393939,0.6436781609195402,0.6174594496081648,0.8037582028280991,v26 main_pc0,4.8
42,balance-scale,CBM_KE,1,OK,0.9841269841269841,0.996450304259635,0.9444444444444445,0.9885057471264368,0.9638490164805954,0.9729158085985287,v26 main_pc0,14.4
42,balance-scale,CBM_KE,2,OK,0.9682539682539683,0.9881000676132522,0.9047619047619048,0.9770114942528735,0.9325396825396827,0.9472669881727528,v26 main_pc0,24.2
42,balance-scale,CBM_KE,3,OK,0.9206349206349206,0.9885057471264368,0.6151515151515151,0.6666666666666666,0.6395115728084564,0.8632958474820323,v26 main_pc0,6.2
42,balance-scale,CBM_KE,4,OK,0.9206349206349206,0.9822177146720756,0.6139112903225806,0.6666666666666666,0.6391621129326047,0.8624251504904709,v26 main_pc0,5.8
42,balance-scale,CBM_KE,5,OK,0.9193548387096774,0.937042842215256,0.6131944444444445,0.6551724137931035,0.633324071501343,0.8552326011749419,v26 main_pc0,6.2
42,balance-scale,CBM_KE,6,OK,0.9032258064516129,0.9918404137764659,0.6020833333333333,0.6547619047619048,0.6272847182965894,0.8302342861614174,v26 main_pc0,17.8
42,balance-scale,CBM_KE,7,OK,0.9354838709677419,1.0,0.9572557471264368,0.7333333333333334,0.7555363819384526,0.8885358672050417,v26 main_pc0,5.3
42,balance-scale,CBM_KE,8,OK,0.9838709677419355,1.0,0.9444444444444445,0.9880952380952381,0.9636363636363637,0.972520851765122,v26 main_pc0,5.4
42,balance-scale,CBM_KE,9,OK,0.9193548387096774,0.9969641973271738,0.6176470588235294,0.6666666666666666,0.6402116402116401,0.8630715425344782,v26 main_pc0,8.7
42,balance-scale,CBM,0,OK,0.9523809523809523,0.9866125760649087,0.8951612903225806,0.8551724137931034,0.8719298245614034,0.9168454278540442,v26 main_pc0,15.6
42,balance-scale,CBM,1,OK,0.9841269841269841,0.9933739012846518,0.9444444444444445,0.9885057471264368,0.9638490164805954,0.9729158085985287,v25(p_c=0),15.3
42,balance-scale,CBM,2,OK,0.9365079365079365,0.9971602434077079,0.9595959595959597,0.8436781609195402,0.8832565284178188,0.8913391236957271,v26 main_pc0,15.1
