Dataset,mode,sub_seed,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,wall_s
bank,strat,101,TabPFN,3,OK,0.9155,0.9406161976943404,0.8064371463046228,0.7538137274830367,0.7766132587300927,0.5577739841292025,14.0
bank,strat,101,TabPFN,4,OK,0.9145,0.9339857324002284,0.8000091261314328,0.7625156082120974,0.7794651061565991,0.561273830551801,12.2
bank,strat,102,CBM_KE,0,OK,0.898,0.902829805151436,0.7671941773504274,0.6549302591205196,0.690194661021325,0.40692241586030026,2222.7
bank,strat,102,CBM_KE,1,OK,0.902,0.9238561237428734,0.7774485153256705,0.6794387819302882,0.7136838660858539,0.44625115636110213,2007.6
bank,strat,102,CBM_KE,2,OK,0.8705,0.9021425598435793,0.7013823656967937,0.7505759309270068,0.7214501156412213,0.4492730740062528,1855.9
bank,strat,102,CBM_KE,3,OK,0.8985,0.8987281122048959,0.7704,0.653359758399396,0.6893932381060943,0.4072762142389201,2187.3
bank,strat,102,CBM_KE,4,OK,0.907,0.9250394440088666,0.7809734513274336,0.7360252054476291,0.7556688761556468,0.5150410336075637,2518.3
bank,strat,102,CatBoost,0,OK,0.9025,0.9328604892025051,0.7717523716343895,0.7056726776432326,0.7321382578684387,0.47282993953405156,0.7
bank,strat,102,CatBoost,1,OK,0.9015,0.929450881319511,0.7667454341678841,0.7125209319433555,0.7351750096620793,0.47618898878908866,0.7
bank,strat,102,CatBoost,2,OK,0.893,0.9205505706071958,0.7437739463601533,0.6576598813291905,0.6873895272570038,0.3920886198516362,0.7
bank,strat,102,CatBoost,3,OK,0.906,0.9238537038650291,0.7843807071251199,0.7095081840268703,0.7388888888888889,0.48818064493407004,0.7
bank,strat,102,CatBoost,4,OK,0.9015,0.9312101325125107,0.7739930166534323,0.6828629090803496,0.7155873302096063,0.44767470374345397,0.7
bank,strat,102,TabPFN,0,OK,0.9055,0.9419906883100541,0.7764694581520912,0.7333222018952483,0.752240161869761,0.5079624503162893,12.4
bank,strat,102,TabPFN,1,OK,0.9055,0.938072906079701,0.7754388265592259,0.7388830811820619,0.755262345169442,0.5130211518666241,12.8
bank,strat,102,TabPFN,2,OK,0.9005,0.9331944323450552,0.7653576715618096,0.7008329219540997,0.7266436580298425,0.4617036129063516,12.8
bank,strat,102,TabPFN,3,OK,0.908,0.9368460280125058,0.7822222222222222,0.7458595890079469,0.7622192183732176,0.5268283954551615,11.3
bank,strat,102,TabPFN,4,OK,0.914,0.9454438539942503,0.8036774564259721,0.7455498446438424,0.7702494396490693,0.546142663586117,10.2
bank,strat,103,CBM_KE,0,OK,0.9105,0.9262784214652845,0.7889471486370261,0.7528360968338319,0.769147684222405,0.540578465174671,2318.4
bank,strat,103,CBM_KE,1,OK,0.905,0.9092642603401381,0.775574294853155,0.7293318233295583,0.749377400700688,0.502784070954645,2178.1
bank,strat,103,CBM_KE,2,OK,0.8925,0.9031685880496751,0.739169911399782,0.7055710427737608,0.7204595644760015,0.4434699903558805,2246.2
bank,strat,103,CBM_KE,3,OK,0.9025,0.9174628064775291,0.7673237779110393,0.7297698212194248,0.7464633259200943,0.49567302391121004,1997.9
bank,strat,103,CBM_KE,4,OK,0.91,0.9156817763839281,0.808471929531982,0.6969441782578816,0.7358038607862477,0.4929574045586468,1899.7
bank,strat,103,CatBoost,0,OK,0.9105,0.929864680430932,0.8011459779315656,0.7157635682550745,0.7485910918379888,0.5098091045251292,0.6
bank,strat,103,CatBoost,1,OK,0.9165,0.932526546059955,0.820370970273619,0.7321364617514108,0.7664974122460222,0.5454164775185447,0.7
