Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,bp_source,wall_s
42,balance-scale,CBM_KE,0,OK,0.9206349206349206,0.9527383367139959,0.8218390804597702,0.8873563218390804,0.8421188007394904,0.8687060726119535,v26 main_pc0,6.9
42,balance-scale,CBM_KE,1,OK,0.9523809523809523,0.9981744421906692,0.9103448275862069,0.9103448275862069,0.9103448275862069,0.916445623342175,v26 main_pc0,18.0
42,balance-scale,CBM_KE,2,OK,0.9682539682539683,0.9969574036511156,0.9047619047619048,0.9770114942528735,0.9325396825396827,0.9472669881727528,v26 main_pc0,14.2
42,balance-scale,CBM_KE,3,OK,0.9841269841269841,0.9947261663286003,0.9444444444444445,0.9885057471264368,0.9638490164805954,0.9729158085985287,v26 main_pc0,8.4
42,balance-scale,CBM_KE,4,OK,0.873015873015873,0.9755916159567275,0.7530864197530863,0.7977011494252872,0.7619047619047619,0.7907884048267084,v26 main_pc0,7.1
42,balance-scale,CBM_KE,5,OK,0.9193548387096774,0.9883315917798677,0.8148148148148149,0.9425287356321839,0.8417082917082918,0.871747748690001,v26 main_pc0,6.7
42,balance-scale,CBM_KE,6,OK,0.9354838709677419,0.9439000029423857,0.882183908045977,0.8432676518883415,0.8598507763662028,0.8862293193420129,v26 main_pc0,16.0
42,balance-scale,CBM_KE,7,OK,0.9838709677419355,1.0,0.9888888888888889,0.9333333333333332,0.9573132454488387,0.9719410039857248,v26 main_pc0,7.8
42,balance-scale,CBM_KE,8,OK,0.9838709677419355,1.0,0.9444444444444445,0.9880952380952381,0.9636363636363637,0.972520851765122,v26 main_pc0,6.1
42,balance-scale,CBM_KE,9,OK,0.9516129032258065,0.9900713120313847,0.8773946360153256,0.9103448275862069,0.8913381939697729,0.9174639868392079,v26 main_pc0,10.6
42,bank,CBM_KE,0,OK,0.891,0.8819886363636364,0.74214107591475,0.7473484848484848,0.7447013825942556,0.48946186060650476,v25(p_c=0),360.1
42,bank,CBM_KE,1,OK,0.891,0.706941287878788,0.7420105491777846,0.74375,0.7428754078019622,0.48575743478442,v26 main_pc0,166.0
42,bank,CBM_KE,2,OK,0.893,0.8346401515151515,0.7466639323152644,0.7448863636363636,0.7457701619705426,0.49154708187489515,v25(p_c=0),48.5
42,bank,CBM_KE,3,OK,0.898,0.8484659090909092,0.7594484167517875,0.740530303030303,0.7494473102431836,0.4996206813255024,v25(p_c=0),424.4
42,bank,CBM_KE,4,OK,0.879,0.7068607264077322,0.4395,0.5,0.46780202235231505,0.0,v25(p_c=0),32.1
42,bank,CBM_KE,5,OK,0.883,0.8674207166295285,0.7274395918789425,0.7481501330399872,0.7370638799932581,0.4751385691914306,v25(p_c=0),399.2
42,bank,CBM_KE,6,OK,0.879,0.8299250651096757,0.6910282258064516,0.5142536127643171,0.49867210255262906,0.1043617239738724,v25(p_c=0),30.5
42,bank,CBM_KE,7,OK,0.896,0.7876907454940344,0.7569566374035648,0.7270376742917853,0.7405992158114755,0.4830686797959186,v25(p_c=0),579.6
42,bank,CBM_KE,8,OK,0.878,0.8118635940540997,0.6828356548440212,0.5386286068879925,0.5435225095785441,0.16807958396043687,v25(p_c=0),53.2
42,bank,CBM_KE,9,OK,0.878,0.798766441956017,0.7196208913087316,0.755996201543828,0.735497914336013,0.47422405655852257,v26 main_pc0,586.0
42,blood,CBM_KE,0,OK,0.76,0.6929824561403508,0.38,0.5,0.4318181818181818,0.0,v25(p_c=0),14.8
42,blood,CBM_KE,1,OK,0.7333333333333333,0.652046783625731,0.6255296610169492,0.6154970760233918,0.6196754563894523,0.24081784652857585,v26 main_pc0,25.1
42,blood,CBM_KE,2,OK,0.7333333333333333,0.5813840155945419,0.6051587301587301,0.577485380116959,0.5833333333333334,0.1805354721816844,v26 main_pc0,13.7
42,blood,CBM_KE,3,OK,0.76,0.6910331384015596,0.38,0.5,0.4318181818181818,0.0,v25(p_c=0),11.6
42,blood,CBM_KE,4,OK,0.76,0.6574074074074074,0.38,0.5,0.4318181818181818,0.0,v25(p_c=0),9.5
42,blood,CBM_KE,5,OK,0.72,0.7305068226120858,0.65,0.682748538011696,0.6576831123668767,0.33113308926626095,v26 main_pc0,17.6
42,blood,CBM_KE,6,OK,0.7733333333333333,0.5916179337231969,0.8851351351351351,0.5277777777777778,0.4877460827641623,0.20686418924693753,v25(p_c=0),10.8
42,blood,CBM_KE,7,OK,0.8133333333333334,0.7300194931773879,0.753968253968254,0.6871345029239766,0.7083333333333333,0.4360101969670868,v26 main_pc0,21.1
42,blood,CBM_KE,8,OK,0.7702702702702703,0.5025799793601652,0.38513513513513514,0.5,0.4351145038167939,0.0,v26 main_pc0,6.4
42,blood,CBM_KE,9,OK,0.7702702702702703,0.4179566563467493,0.38513513513513514,0.5,0.4351145038167939,0.0,v25(p_c=0),5.2
42,car,CBM_KE,0,OK,0.9190751445086706,0.9972934121509427,0.7793290043290043,0.9623860987497351,0.8466787388356016,0.8437606650485865,v25(p_c=0),65.4
42,car,CBM_KE,1,OK,0.9421965317919075,1.0,0.8236607142857143,0.9793388429752066,0.8721672817437436,0.8910115942468994,v25(p_c=0),96.8
42,car,CBM_KE,2,OK,0.9248554913294798,0.983098623788248,0.746031746031746,0.9058441558441559,0.8017526455026455,0.8556866328431204,v25(p_c=0),73.4
42,car,CBM_KE,3,OK,0.6705202312138728,0.9869720747638797,0.56875,0.843134138588684,0.5662649470077067,0.5542238411499462,v26 main_pc0,12.9
42,car,CBM_KE,4,OK,0.9710982658959537,0.9991730735151788,0.8873397435897435,0.9896694214876033,0.9306946714243811,0.9412600474499714,v25(p_c=0),85.6
42,car,CBM_KE,5,OK,0.9826589595375722,1.0,0.9131944444444444,0.993801652892562,0.9489452580195259,0.9639117756269641,v25(p_c=0),80.1
42,car,CBM_KE,6,OK,0.9248554913294798,0.9867942686592885,0.7533419324577861,0.8721959858323495,0.7963971337116252,0.8540455839783033,v25(p_c=0),79.0
42,car,CBM_KE,7,OK,0.7052023121387283,0.9901026978770968,0.6008612262783564,0.8494997825141366,0.5875654621628699,0.5863529404714304,v26 main_pc0,16.5
42,car,CBM_KE,8,OK,0.9593023255813954,1.0,0.8833333333333334,0.9855371900826446,0.9203534613948948,0.9185615213311321,v25(p_c=0),89.0
42,car,CBM_KE,9,OK,0.7616279069767442,0.9689748584832516,0.605510752688172,0.8340582862113962,0.6339634358661976,0.59516586431475,v25(p_c=0),21.5
42,credit-g,CBM_KE,0,OK,0.74,0.5885714285714286,0.8645833333333333,0.5666666666666667,0.5393338058114813,0.31180478223116176,v26 main_pc0,7.6
42,credit-g,CBM_KE,1,OK,0.74,0.7642857142857142,0.6884920634920635,0.680952380952381,0.6843127731908694,0.36936750089587606,v26 main_pc0,10.4
42,credit-g,CBM_KE,2,OK,0.75,0.7585714285714286,0.705789235639982,0.7166666666666667,0.7103464256748928,0.42231584257281224,v25(p_c=0),14.3
42,credit-g,CBM_KE,3,OK,0.69,0.7066666666666667,0.6243023845763571,0.6166666666666667,0.6196785670469881,0.24084804227762924,v26 main_pc0,32.5
42,credit-g,CBM_KE,4,OK,0.77,0.8280952380952381,0.7338052338052339,0.7595238095238095,0.74189204354169,0.4926581977953447,v25(p_c=0),42.6
42,credit-g,CBM_KE,5,OK,0.65,0.7457142857142858,0.6051051051051051,0.6166666666666667,0.6072270227808326,0.22147019900891643,v25(p_c=0),42.4
