Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,wall_s
42,balance-scale,TabICLv2,0,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.4
42,balance-scale,TabICLv2,1,OK,0.9841269841269841,1.0,0.9444444444444445,0.9885057471264368,0.9638490164805954,0.9729158085985287,1.7
42,balance-scale,TabICLv2,2,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.4
42,balance-scale,TabICLv2,3,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.2
42,balance-scale,TabICLv2,4,OK,0.9682539682539683,0.9947261663286003,0.9047619047619048,0.9770114942528737,0.9327485380116959,0.9468641529479986,1.9
42,balance-scale,TabICLv2,5,OK,0.9838709677419355,1.0,0.9333333333333332,0.9885057471264368,0.9571150097465887,0.9719488478899142,1.7
42,balance-scale,TabICLv2,6,OK,0.9838709677419355,1.0,0.9885057471264368,0.9333333333333332,0.9571150097465887,0.9719488478899142,1.7
42,balance-scale,TabICLv2,7,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.7
42,balance-scale,TabICLv2,8,OK,0.9838709677419355,1.0,0.9444444444444445,0.9880952380952381,0.9636363636363637,0.972520851765122,2.1
42,balance-scale,TabICLv2,9,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.8
42,bank,TabICLv2,0,OK,0.908,0.9485842803030304,0.7983988355167394,0.7174242424242424,0.7488973317612123,0.5094276818254116,3.3
42,bank,TabICLv2,1,OK,0.91,0.9344933712121213,0.7925394917582418,0.7581439393939394,0.7737693050193051,0.5496082125688203,2.3
42,bank,TabICLv2,2,OK,0.901,0.9147964015151515,0.7665841905198991,0.753030303030303,0.7595400657257154,0.5194376902395054,2.9
42,bank,TabICLv2,3,OK,0.91,0.9341524621212122,0.8048970679975047,0.7221590909090909,0.7543560854185772,0.5205214902275329,1.5
42,bank,TabICLv2,4,OK,0.911,0.9358587425605731,0.8018067846607669,0.7462603070732143,0.7699729395132213,0.5452450145295781,1.7
42,bank,TabICLv2,5,OK,0.904,0.939784127342303,0.7812103983285954,0.7315883000028206,0.752880486825441,0.5103921554727715,1.6
42,bank,TabICLv2,6,OK,0.917,0.9435261707988982,0.822423865159931,0.75323667954757,0.7819410400098783,0.5714877042246644,1.8
42,bank,TabICLv2,7,OK,0.903,0.9316277889036189,0.7805257613484007,0.7203292622157035,0.7451600106139542,0.4972244323457632,1.8
42,bank,TabICLv2,8,OK,0.913,0.9461916716027793,0.8136961722488039,0.7367077539277354,0.7675779215054539,0.5449929039858862,1.7
42,bank,TabICLv2,9,OK,0.902,0.9245526941772675,0.7762721721430649,0.7233238371929033,0.7456817804351437,0.4967822927303572,1.8
42,blood,TabICLv2,0,OK,0.8266666666666667,0.7953216374269005,0.8055555555555556,0.6769005847953217,0.7064137308039746,0.46498583404330573,1.6
42,blood,TabICLv2,1,OK,0.7733333333333333,0.6783625730994152,0.6805210918114144,0.6418128654970761,0.6543778801843317,0.32000133319995666,1.7
42,blood,TabICLv2,2,OK,0.76,0.5969785575048733,0.65,0.5950292397660819,0.6048009367681498,0.23878346647045964,1.7
42,blood,TabICLv2,3,OK,0.76,0.7914230019493177,0.6455223880597014,0.5760233918128654,0.5812655086848635,0.21036259672295876,1.6
42,blood,TabICLv2,4,OK,0.7733333333333333,0.7714424951267057,0.6827731092436975,0.5847953216374269,0.592,0.24898437368631707,1.5
42,blood,TabICLv2,5,OK,0.76,0.7266081871345029,0.65,0.5950292397660819,0.6048009367681498,0.23878346647045964,1.5
42,blood,TabICLv2,6,OK,0.7866666666666666,0.7904483430799221,0.7154850746268657,0.6125730994152047,0.6277915632754343,0.31149846053207353,1.8
42,blood,TabICLv2,7,OK,0.8266666666666667,0.7660818713450293,0.8403361344537814,0.6578947368421052,0.688,0.4636260751400387,1.8
42,blood,TabICLv2,8,OK,0.7567567567567568,0.7801857585139319,0.6098081023454157,0.5531475748194015,0.5524193548387097,0.15278788348791897,1.7
42,blood,TabICLv2,9,OK,0.8243243243243243,0.8782249742002064,0.7916666666666667,0.6589267285861713,0.6871544715447154,0.430597859590438,1.8
42,car,TabICLv2,0,OK,0.9942196531791907,1.0,0.99375,0.9979338842975207,0.9957980986396344,0.9875198273466141,3.1
